               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067425,            0.026161,            0.013992,             0.73613,             0.30445,             0.37522,             0.11291,            0.052886,            0.013012,           0.0062047,            0.070556,           0.0032716,           0.0032716
                   1,            0.052951,            0.014814,           0.0047793,             0.51329,             0.71516,             0.58875,             0.21462,            0.045461,            0.007771,            0.003304,            0.040542,           0.0065919,           0.0065919
                   2,            0.050458,            0.011547,           0.0038543,             0.51445,             0.86767,             0.63157,             0.25764,            0.038646,           0.0068544,           0.0023809,            0.010516,           0.0098989,           0.0098989
                   3,            0.043605,           0.0095081,           0.0028384,             0.60595,             0.88542,             0.71102,             0.32974,             0.03255,           0.0067092,           0.0017141,           0.0099406,           0.0099406,           0.0099406
                   4,            0.039027,           0.0084045,           0.0022024,              0.9824,             0.98975,             0.99292,             0.70994,            0.024669,           0.0052193,            0.001391,           0.0099406,           0.0099406,           0.0099406
                   5,            0.031623,           0.0080881,           0.0018734,             0.90925,             0.97772,             0.97174,             0.61767,            0.025235,           0.0049094,           0.0014363,           0.0099208,           0.0099208,           0.0099208
                   6,            0.030572,            0.007466,           0.0016042,             0.97572,             0.98358,             0.98908,             0.74161,             0.01975,           0.0045363,           0.0013264,            0.009901,            0.009901,            0.009901
                   7,            0.025446,           0.0071955,            0.001483,              0.9445,             0.99181,             0.99242,             0.68679,            0.019023,            0.004501,           0.0010874,           0.0098812,           0.0098812,           0.0098812
                   8,            0.028181,           0.0073007,           0.0013821,             0.96562,             0.97097,             0.99351,             0.73203,            0.016743,           0.0043324,            0.001111,           0.0098614,           0.0098614,           0.0098614
                   9,            0.026398,           0.0067833,           0.0012421,             0.99027,             0.99206,             0.99425,             0.75083,            0.015077,           0.0043051,           0.0010485,           0.0098416,           0.0098416,           0.0098416
                  10,             0.02456,           0.0069246,           0.0012321,             0.97983,             0.98126,              0.9938,             0.79609,            0.014582,           0.0041408,           0.0011246,           0.0098218,           0.0098218,           0.0098218
                  11,            0.023185,           0.0066614,           0.0011141,             0.98907,             0.99179,             0.99438,             0.81193,            0.014261,           0.0039914,          0.00091042,            0.009802,            0.009802,            0.009802
                  12,            0.022376,           0.0066424,           0.0010688,             0.98759,             0.99819,             0.99422,             0.80084,            0.015378,           0.0041431,          0.00086239,           0.0097822,           0.0097822,           0.0097822
                  13,            0.021518,           0.0067139,           0.0010346,             0.99107,             0.99517,             0.99398,             0.81176,            0.014203,           0.0041083,          0.00085569,           0.0097624,           0.0097624,           0.0097624
                  14,            0.024645,           0.0065356,           0.0011749,             0.99509,              0.9936,             0.99436,             0.82167,            0.012889,           0.0038802,          0.00079483,           0.0097426,           0.0097426,           0.0097426
                  15,              0.0209,           0.0062442,          0.00094486,              0.9899,             0.99025,              0.9942,             0.81712,            0.012434,           0.0038477,          0.00072061,           0.0097228,           0.0097228,           0.0097228
