               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069257,            0.025442,            0.013473,             0.68455,             0.34356,             0.28573,            0.088642,              0.0549,            0.010861,           0.0054469,            0.070448,           0.0032836,           0.0032836
                   1,            0.050886,            0.013734,           0.0042184,             0.49708,             0.76564,             0.58913,             0.24068,            0.051577,           0.0064974,           0.0026333,            0.040435,           0.0066038,           0.0066038
                   2,            0.051771,              0.0111,            0.003753,             0.39989,             0.71649,             0.50651,             0.29043,            0.048227,           0.0076223,           0.0027422,            0.010408,           0.0099108,           0.0099108
                   3,            0.043274,           0.0095694,           0.0029363,             0.98109,             0.94565,             0.99009,             0.50251,             0.02751,           0.0055472,           0.0013775,           0.0099406,           0.0099406,           0.0099406
                   4,            0.037413,           0.0083364,           0.0021031,             0.91947,             0.97547,             0.98388,             0.64317,            0.020801,           0.0051938,           0.0014436,           0.0099406,           0.0099406,           0.0099406
                   5,            0.034107,           0.0080249,           0.0016983,             0.97805,             0.98183,             0.99285,             0.73063,            0.018969,            0.004638,           0.0012957,           0.0099208,           0.0099208,           0.0099208
                   6,            0.030272,           0.0076185,           0.0015729,             0.96571,             0.97208,             0.99194,             0.69898,            0.017922,             0.00459,           0.0014504,            0.009901,            0.009901,            0.009901
                   7,            0.029908,           0.0071764,           0.0013884,             0.97425,             0.98424,             0.99303,             0.71808,            0.018166,           0.0044887,           0.0010951,           0.0098812,           0.0098812,           0.0098812
                   8,            0.027009,           0.0071843,            0.001289,             0.98568,             0.98695,             0.99343,             0.78281,            0.013582,           0.0041149,          0.00093856,           0.0098614,           0.0098614,           0.0098614
                   9,            0.030587,           0.0068429,           0.0011574,             0.99069,             0.98696,             0.99368,             0.80147,             0.01636,           0.0041031,          0.00091802,           0.0098416,           0.0098416,           0.0098416
                  10,            0.028849,           0.0067681,           0.0010585,             0.99284,             0.99097,             0.99428,             0.82676,            0.011897,           0.0039454,          0.00090504,           0.0098218,           0.0098218,           0.0098218
                  11,            0.026848,             0.00672,           0.0010321,             0.99607,             0.99211,             0.99441,             0.79798,            0.014097,           0.0039622,          0.00082914,            0.009802,            0.009802,            0.009802
                  12,            0.024284,           0.0065685,          0.00098801,             0.99086,             0.99261,             0.99423,             0.84584,            0.010827,           0.0037943,          0.00079238,           0.0097822,           0.0097822,           0.0097822
                  13,            0.029114,           0.0064268,          0.00090989,             0.98977,             0.99458,              0.9944,             0.83714,            0.011417,           0.0037679,          0.00077648,           0.0097624,           0.0097624,           0.0097624
                  14,            0.024695,           0.0062808,          0.00085457,             0.98768,             0.98685,               0.994,             0.84176,            0.010305,           0.0036621,           0.0007026,           0.0097426,           0.0097426,           0.0097426
                  15,            0.024914,           0.0060624,          0.00080807,             0.99461,             0.98807,             0.99435,             0.83931,            0.011895,           0.0036543,          0.00066071,           0.0097228,           0.0097228,           0.0097228
                  16,            0.021611,           0.0060289,          0.00083284,              0.9952,             0.98833,             0.99433,             0.83575,            0.010466,           0.0034756,          0.00060555,            0.009703,            0.009703,            0.009703
                  17,            0.021985,           0.0059599,           0.0007568,             0.99648,             0.98868,             0.99441,             0.84847,           0.0097965,           0.0034785,          0.00058269,           0.0096832,           0.0096832,           0.0096832
                  18,             0.02546,           0.0059726,          0.00071032,             0.99466,             0.98852,             0.99436,             0.86257,            0.010189,           0.0034492,           0.0006245,           0.0096634,           0.0096634,           0.0096634
                  19,            0.024197,           0.0057739,          0.00068277,             0.98624,             0.98799,              0.9943,             0.85342,            0.010494,           0.0034265,          0.00068614,           0.0096436,           0.0096436,           0.0096436
                  20,            0.019112,           0.0058215,          0.00070565,             0.99158,             0.98702,             0.99398,             0.86741,           0.0091385,           0.0033777,          0.00069695,           0.0096238,           0.0096238,           0.0096238
                  21,            0.021255,           0.0056765,          0.00070351,             0.99283,             0.99712,             0.99444,             0.85448,            0.010472,           0.0035114,          0.00055087,            0.009604,            0.009604,            0.009604
                  22,             0.02451,           0.0057595,          0.00066759,             0.99327,             0.99555,             0.99403,             0.87572,           0.0091586,           0.0032307,          0.00052655,           0.0095842,           0.0095842,           0.0095842
                  23,             0.02264,           0.0055746,            0.000673,             0.99326,             0.99332,             0.99437,             0.86748,            0.009932,           0.0032171,          0.00051428,           0.0095644,           0.0095644,           0.0095644
                  24,            0.021013,           0.0054628,          0.00068566,             0.99393,             0.99086,             0.99452,             0.87079,           0.0088786,           0.0032355,          0.00049583,           0.0095446,           0.0095446,           0.0095446
                  25,            0.022796,           0.0054499,          0.00060594,             0.99254,             0.99398,             0.99437,             0.86908,           0.0089978,           0.0032243,            0.000484,           0.0095248,           0.0095248,           0.0095248
                  26,            0.020204,           0.0054781,           0.0005778,             0.99457,             0.99628,              0.9944,             0.87502,           0.0082335,           0.0031127,          0.00050965,            0.009505,            0.009505,            0.009505
                  27,            0.022115,           0.0055349,          0.00057647,             0.99643,             0.99338,             0.99425,             0.86294,           0.0090143,           0.0032021,          0.00044938,           0.0094852,           0.0094852,           0.0094852
                  28,            0.024884,           0.0055683,          0.00057495,             0.99532,             0.99423,             0.99436,              0.8729,            0.008076,           0.0031744,          0.00044177,           0.0094654,           0.0094654,           0.0094654
                  29,            0.020332,           0.0053629,          0.00055497,             0.99596,             0.99554,             0.99424,             0.86326,           0.0087224,           0.0030958,          0.00042555,           0.0094456,           0.0094456,           0.0094456
                  30,            0.019335,           0.0054114,          0.00054323,             0.99528,             0.99482,             0.99435,             0.87648,           0.0077452,           0.0030978,          0.00043255,           0.0094258,           0.0094258,           0.0094258
                  31,            0.019743,           0.0052867,          0.00063752,             0.98942,             0.98855,              0.9933,             0.86591,           0.0096594,           0.0031979,          0.00048649,            0.009406,            0.009406,            0.009406
                  32,                 nan,                 nan,          0.00077299,             0.99479,             0.99489,             0.99428,             0.87769,           0.0075209,           0.0031088,          0.00040793,           0.0093862,           0.0093862,           0.0093862
